Sample_Date,Location,Chloride_mg/l,Nitrate_mg/l,Nitrite_mg/l,Nitrogen_mg/l,TKN_mg/l,Phosphorous_mg/l
6/29/2018,Tuscarora_01,2.01,2.01,0.02,2.79,0.78,0.05
6/29/2018,Tuscarora_02,8.21,2.38,0.02,3.11,0.73,0.05
6/29/2018,Tuscarora_03,17.2,3.06,0.02,4.12,1.06,0.05
6/29/2018,Tuscarora_04,31.2,3.82,0.02,3.82,0.17,0.05
6/29/2018,Tuscarora_05,38.1,3.8,0.36,4.94,0.78,0.05
7/13/2018,Tuscarora_01,8.62,2.47,0.02,3.42,0.95,0.05
7/13/2018,Tuscarora_02,8.26,2.74,0.02,2.74,0.17,0.05
7/13/2018,Tuscarora_03,17.5,3.39,0.02,4.29,0.9,0.05
7/13/2018,Tuscarora_04,22.3,3.75,0.48,4.23,0.17,0.05
7/13/2018,Tuscarora_05,41.1,4.21,0.27,4.48,0.17,0.05
7/26/2018,Tuscarora_01,4.84,1.23,0.25,2.38,0.9,0.05
7/26/2018,Tuscarora_02,5.27,1.32,0.25,1.57,0.17,0.05
7/26/2018,Tuscarora_03,9.58,1.82,0.02,1.82,0.17,0.05
7/26/2018,Tuscarora_04,15.2,2.08,0.25,2.33,0.17,0.05
7/26/2018,Tuscarora_05,26.6,2.39,0.26,2.65,0.17,0.05
8/21/2018,Tuscarora_01,8.8,2.44,0.02,2.44,0.17,0.05
8/21/2018,Tuscarora_02,8.12,2.55,0.02,2.55,0.17,0.05
8/21/2018,Tuscarora_03,17,3.32,0.02,3.32,0.17,0.05
8/21/2018,Tuscarora_04,23.7,3.56,0.02,3.56,0.17,0.05
8/21/2018,Tuscarora_05,41.9,3.35,0.25,3.6,0.17,0.05
7/2/2018,Mill_01,6.48,1.28,0.21,1.49,0.17,0.05
7/2/2018,Mill_02,6.53,1.28,0.2,1.98,0.5,0.05
7/2/2018,Mill_03,7.39,1.01,0.21,1.22,0.17,0.05
7/2/2018,Mill_04,8.27,2.74,0.2,2.94,0.17,0.05
7/2/2018,Mill_05,11.8,3.1,0.21,3.76,0.45,0.05
7/13/2018,Mill_01,7.31,2,0.27,2.27,0.17,0.05
7/13/2018,Mill_02,8.56,3.63,0.02,5.03,1.4,0.05
7/13/2018,Mill_03,11.5,3.87,0.24,4.73,0.62,0.05
7/13/2018,Mill_04,15.2,3.39,0.26,4.21,0.56,0.05
7/13/2018,Mill_05,17.3,2.77,0.22,3.77,0.78,0.05
7/27/2018,Mill_01,11.9,1.18,0.24,2.26,0.84,0.05
7/27/2018,Mill_02,10.3,1.77,0.02,1.77,0.17,0.05
7/27/2018,Mill_03,10.9,2.34,0.02,3.12,0.78,0.05
7/27/2018,Mill_04,12.4,2.24,0.02,2.24,0.17,0.05
7/27/2018,Mill_05,15.3,1.93,0.24,2.73,0.56,0.05
8/21/2018,Mill_01,10.3,1.43,0.25,2.18,0.5,0.05
8/21/2018,Mill_02,10.1,2.77,0.24,4.35,1.34,0.05
8/21/2018,Mill_03,11.8,3.3,0.24,4.04,0.5,0.05
8/21/2018,Mill_04,14.5,3,0.02,3,0.17,0.05
8/21/2018,Mill_05,17,2.8,0.24,2.84,0.17,0.05
